h,w,output,type,metric,n_h,n_w,n_output,n_type,count
84815,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,84815,0,0.0,String,1
81928,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,81928,0,0.0,String,1
79758,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,79758,0,0.0,String,1
73608,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,73608,0,0.0,String,1
71883,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,71883,0,0.0,String,1
55505,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,55505,0,0.0,String,1
54720,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,54720,0,0.0,String,1
51594,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,51594,0,0.0,String,1
43498,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,43498,0,0.0,String,1
40684,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,40684,0,0.0,String,1
39894,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,39894,0,0.0,String,1
35575,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,35575,0,0.0,String,1
33320,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,33320,0,0.0,String,1
32738,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,32738,0,0.0,String,1
32683,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,32683,0,0.0,String,1
30019,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,30019,0,0.0,String,1
28907,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,28907,0,0.0,String,1
27851,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,27851,0,0.0,String,1
27028,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,27028,0,0.0,String,1
26132,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,26132,0,0.0,String,1
24850,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,24850,0,0.0,String,1
24497,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,24497,0,0.0,String,1
23543,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,23543,0,0.0,String,1
21524,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,21524,0,0.0,String,1
20096,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,20096,0,0.0,String,1
17919,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17919,0,0.0,String,1
17278,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17278,0,0.0,String,1
16969,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16969,0,0.0,String,1
16799,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16799,0,0.0,String,1
15856,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15856,0,0.0,String,1
15165,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15165,0,0.0,String,1
14637,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,14637,0,0.0,String,1
13704,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13704,0,0.0,String,1
13585,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13585,0,0.0,String,1
13199,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13199,0,0.0,String,1
12770,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,12770,0,0.0,String,1
10694,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10694,0,0.0,String,1
10631,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10631,0,0.0,String,1
10436,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10436,0,0.0,String,1
10185,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10185,0,0.0,String,1
9981,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,9981,0,0.0,String,1
9059,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,9059,0,0.0,String,1
8159,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,8159,0,0.0,String,1
7947,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7947,0,0.0,String,1
7806,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7806,0,0.0,String,1
7799,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7799,0,0.0,String,1
7521,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7521,0,0.0,String,1
7122,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7122,0,0.0,String,1
6840,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6840,0,0.0,String,1
6819,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6819,0,0.0,String,1
6715,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6715,0,0.0,String,1
6580,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6580,0,0.0,String,1
6445,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6445,0,0.0,String,1
6343,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6343,0,0.0,String,1
6193,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6193,0,0.0,String,1
6030,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6030,0,0.0,String,1
5781,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5781,0,0.0,String,1
5585,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5585,0,0.0,String,1
5323,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5323,0,0.0,String,1
4975,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4975,0,0.0,String,1
4821,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4821,0,0.0,String,1
4810,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4810,0,0.0,String,1
4719,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4719,0,0.0,String,1
4684,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4684,0,0.0,String,1
4458,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4458,0,0.0,String,1
4378,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4378,0,0.0,String,1
4377,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4377,0,0.0,String,1
4274,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4274,0,0.0,String,1
4182,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4182,0,0.0,String,1
4122,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4122,0,0.0,String,1
3897,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3897,0,0.0,String,1
3789,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3789,0,0.0,String,1
3560,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3560,0,0.0,String,1
3558,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3558,0,0.0,String,1
3432,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3432,0,0.0,String,1
3408,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3408,0,0.0,String,1
3351,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3351,0,0.0,String,1
3296,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3296,0,0.0,String,1
3222,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3222,0,0.0,String,1
3032,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3032,0,0.0,String,1
2966,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2966,0,0.0,String,1
2829,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2829,0,0.0,String,1
2575,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2575,0,0.0,String,1
2314,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2314,0,0.0,String,1
2299,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2299,0,0.0,String,1
2023,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2023,0,0.0,String,1
1958,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1958,0,0.0,String,1
1805,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1805,0,0.0,String,1
1755,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1755,0,0.0,String,1
1636,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1636,0,0.0,String,1
1407,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1407,0,0.0,String,1
1378,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1378,0,0.0,String,1
1317,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1317,0,0.0,String,1
1304,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1304,0,0.0,String,1
1285,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1285,0,0.0,String,1
1239,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1239,0,0.0,String,1
1220,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1220,0,0.0,String,1
1178,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1178,0,0.0,String,1
1066,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1066,0,0.0,String,1
920,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,920,0,0.0,String,1
899,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,899,0,0.0,String,1
891,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,891,0,0.0,String,1
866,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,866,0,0.0,String,1
846,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,846,0,0.0,String,1
833,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,833,0,0.0,String,1
801,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,801,0,0.0,String,1
710,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,710,0,0.0,String,1
706,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,706,0,0.0,String,1
702,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,702,0,0.0,String,1
660,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,660,0,0.0,String,1
651,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,651,0,0.0,String,1
642,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,642,0,0.0,String,1
615,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,615,0,0.0,String,1
576,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,576,0,0.0,String,1
564,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,564,0,0.0,String,1
481,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,481,0,0.0,String,1
468,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,468,0,0.0,String,1
