h,w,output,type,metric,n_h,n_w,n_output,n_type,count
6188239241939922,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6188239241939922,0,Underweight,String,1
5856626481232729,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5856626481232729,0,Underweight,String,1
5785916864715127,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5785916864715127,0,Underweight,String,1
5642930627725325,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5642930627725325,0,Underweight,String,1
5446872206580373,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5446872206580373,0,Underweight,String,1
5284236463393977,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5284236463393977,0,Underweight,String,1
4806659975590296,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4806659975590296,0,Underweight,String,1
4571522289634184,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4571522289634184,0,Underweight,String,1
4267650726231673,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4267650726231673,0,Underweight,String,1
4260460962475011,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4260460962475011,0,Underweight,String,1
4254821740102984,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4254821740102984,0,Underweight,String,1
4232251086184790,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4232251086184790,0,Underweight,String,1
4124582169617309,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4124582169617309,0,Underweight,String,1
4054216937976641,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4054216937976641,0,Underweight,String,1
3991713679568480,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3991713679568480,0,Underweight,String,1
3774927297353647,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3774927297353647,0,Underweight,String,1
3539418083609724,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3539418083609724,0,Underweight,String,1
3459754580369204,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3459754580369204,0,Underweight,String,1
2965468151081817,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2965468151081817,0,Underweight,String,1
2826643003732565,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2826643003732565,0,Underweight,String,1
2751969475464463,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2751969475464463,0,Underweight,String,1
2563496205591434,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2563496205591434,0,Underweight,String,1
2510917047928111,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2510917047928111,0,Underweight,String,1
2478262440349369,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2478262440349369,0,Underweight,String,1
2338694793050194,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2338694793050194,0,Underweight,String,1
2327608770165024,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2327608770165024,0,Underweight,String,1
2248109863393231,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2248109863393231,0,Underweight,String,1
2148478091162326,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2148478091162326,0,Underweight,String,1
2148262727310416,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2148262727310416,0,Underweight,String,1
1960559038155466,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1960559038155466,0,Underweight,String,1
1890019454032860,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1890019454032860,0,Underweight,String,1
1792164087589388,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1792164087589388,0,Underweight,String,1
1774451976990090,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1774451976990090,0,Underweight,String,1
1674739698420089,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1674739698420089,0,Underweight,String,1
1543104293855210,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1543104293855210,0,Underweight,String,1
1521624408450875,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1521624408450875,0,Underweight,String,1
1485579524526663,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1485579524526663,0,Underweight,String,1
1477662725323660,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1477662725323660,0,Underweight,String,1
1430816402023197,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1430816402023197,0,Underweight,String,1
