year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
248500372935847,0,23,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,24.0,248500372935847,1,23,248500372935847-01-23,Dates.Date,1
231051735507807,0,15,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,24.0,231051735507807,1,15,231051735507807-01-15,Dates.Date,1
222574169949941,0,14039371252,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,222574169949941,1,14039371252,"ArgumentError(""Day: 14039371252 out of range (1:31)"")",ArgumentError,1
201619838277061,10,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,22.0,201619838277061,10,1,201619838277061-10-01,Dates.Date,1
130809063146955,0,-942,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,130809063146955,1,-942,"ArgumentError(""Day: -942 out of range (1:31)"")",ArgumentError,1
128132963524660,0,-62302,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,128132963524660,1,-62302,"ArgumentError(""Day: -62302 out of range (1:31)"")",ArgumentError,1
121429412288342,-1,134,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,121429412288342,0,134,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
109092871161329,0,4859,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,109092871161329,1,4859,"ArgumentError(""Day: 4859 out of range (1:31)"")",ArgumentError,1
101226714219123,0,3,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,24.0,101226714219123,1,3,101226714219123-01-03,Dates.Date,1
65430914069723,0,13543564,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,65430914069723,1,13543564,"ArgumentError(""Day: 13543564 out of range (1:31)"")",ArgumentError,1
44192034664735,-1,50,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,44192034664735,0,50,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
40803920750502,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,25.0,40803920750502,1,1,40803920750502-01-01,Dates.Date,1
28200989444496,-1,2,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,28200989444496,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
25133669084360,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,25133669084360,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
23140131317120,0,-1228,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,23140131317120,1,-1228,"ArgumentError(""Day: -1228 out of range (1:31)"")",ArgumentError,1
20657578257911,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,23.0,20657578257911,1,1,20657578257911-01-01,Dates.Date,1
19744731912334,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,19744731912334,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
16080527125913,-1,162,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,16080527125913,0,162,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
10032351854221,-1,-4,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,10032351854221,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
6113947719938,7,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,24.0,6113947719938,7,1,6113947719938-07-01,Dates.Date,1
5373022788100,0,-4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,5373022788100,1,-4,"ArgumentError(""Day: -4 out of range (1:31)"")",ArgumentError,1
5314003302778,-1,119,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,5314003302778,0,119,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
